"column_number","column_name","column_label","column_class","has_missing","unique_values"
39,"v2x_egaldem","Egalitarian democracy index","numeric",TRUE,869
40,"v2x_egaldem_codelow","Egalitarian democracy index","numeric",TRUE,837
41,"v2x_egaldem_codehigh","Egalitarian democracy index","numeric",TRUE,907
42,"v2x_egaldem_sd","Egalitarian democracy index","numeric",TRUE,68
43,"v2x_api","Additive polyarchy index","numeric",TRUE,942
44,"v2x_api_codelow","Additive polyarchy index","numeric",TRUE,946
45,"v2x_api_codehigh","Additive polyarchy index","numeric",TRUE,956
46,"v2x_api_sd","Additive polyarchy index","numeric",TRUE,52
47,"v2x_mpi","Multiplicative polyarchy index","numeric",TRUE,869
48,"v2x_mpi_codelow","Multiplicative polyarchy index","numeric",TRUE,824
49,"v2x_mpi_codehigh","Multiplicative polyarchy index","numeric",TRUE,932
50,"v2x_mpi_sd","Multiplicative polyarchy index","numeric",TRUE,115
51,"v2x_freexp_altinf","Freedom of Expression and Alternative Sources of Information index","numeric",TRUE,970
52,"v2x_freexp_altinf_codelow","Freedom of Expression and Alternative Sources of Information index","numeric",TRUE,965
53,"v2x_freexp_altinf_codehigh","Freedom of Expression and Alternative Sources of Information index","numeric",TRUE,956
54,"v2x_freexp_altinf_sd","Freedom of Expression and Alternative Sources of Information index","numeric",TRUE,35
55,"v2x_frassoc_thick","Freedom of association thick index","numeric",TRUE,925
56,"v2x_frassoc_thick_codelow","Freedom of association thick index","numeric",TRUE,899
57,"v2x_frassoc_thick_codehigh","Freedom of association thick index","numeric",TRUE,939
58,"v2x_frassoc_thick_sd","Freedom of association thick index","numeric",TRUE,44
59,"v2x_suffr","Share of population with suffrage","numeric",TRUE,39
60,"v2xel_frefair","Clean elections index","numeric",TRUE,977
61,"v2xel_frefair_codelow","Clean elections index","numeric",TRUE,952
62,"v2xel_frefair_codehigh","Clean elections index","numeric",TRUE,988
63,"v2xel_frefair_sd","Clean elections index","numeric",TRUE,389
64,"v2x_elecoff","Elected officials index","numeric",TRUE,92
65,"v2x_liberal","Liberal component index","numeric",TRUE,973
66,"v2x_liberal_codelow","Liberal component index","numeric",TRUE,978
67,"v2x_liberal_codehigh","Liberal component index","numeric",TRUE,974
68,"v2x_liberal_sd","Liberal component index","numeric",TRUE,82
69,"v2xcl_rol","Equality before the law and individual liberty index","numeric",TRUE,985
70,"v2xcl_rol_codelow","Equality before the law and individual liberty index","numeric",TRUE,982
71,"v2xcl_rol_codehigh","Equality before the law and individual liberty index","numeric",TRUE,965
72,"v2xcl_rol_sd","Equality before the law and individual liberty index","numeric",TRUE,29
73,"v2x_jucon","Judicial constraints on the executive index","numeric",TRUE,954
74,"v2x_jucon_codelow","Judicial constraints on the executive index","numeric",TRUE,913
75,"v2x_jucon_codehigh","Judicial constraints on the executive index","numeric",TRUE,916
76,"v2x_jucon_sd","Judicial constraints on the executive index","numeric",TRUE,49
77,"v2xlg_legcon","Legislative constraints on the executive index","numeric",TRUE,912
78,"v2xlg_legcon_codelow","Legislative constraints on the executive index","numeric",TRUE,891
79,"v2xlg_legcon_codehigh","Legislative constraints on the executive index","numeric",TRUE,852
80,"v2xlg_legcon_sd","Legislative constraints on the executive index","numeric",TRUE,102
81,"v2x_partip","Participatory component index","numeric",TRUE,800
82,"v2x_partip_codelow","Participatory component index","numeric",TRUE,808
83,"v2x_partip_codehigh","Participatory component index","numeric",TRUE,812
84,"v2x_partip_sd","Participatory component index","numeric",TRUE,90
85,"v2x_cspart","Civil society participation index","numeric",TRUE,933
86,"v2x_cspart_codelow","Civil society participation index","numeric",TRUE,887
87,"v2x_cspart_codehigh","Civil society participation index","numeric",TRUE,841
88,"v2x_cspart_sd","Civil society participation index","numeric",TRUE,56
89,"v2xdd_dd","Direct popular vote index","numeric",TRUE,455
90,"v2xel_locelec","Local government index","numeric",TRUE,588
91,"v2xel_locelec_codelow","Local government index","numeric",TRUE,546
92,"v2xel_locelec_codehigh","Local government index","numeric",TRUE,493
93,"v2xel_locelec_sd","Local government index","numeric",TRUE,199
94,"v2xel_regelec","Regional government index","numeric",TRUE,522
95,"v2xel_regelec_codelow","Regional government index","numeric",TRUE,459
96,"v2xel_regelec_codehigh","Regional government index","numeric",TRUE,454
97,"v2xel_regelec_sd","Regional government index","numeric",TRUE,182
98,"v2xdl_delib","Deliberative component index","numeric",TRUE,970
99,"v2xdl_delib_codelow","Deliberative component index","numeric",TRUE,965
100,"v2xdl_delib_codehigh","Deliberative component index","numeric",TRUE,948
101,"v2xdl_delib_sd","Deliberative component index","numeric",TRUE,52
102,"v2x_egal","Egalitarian component index","numeric",TRUE,915
103,"v2x_egal_codelow","Egalitarian component index","numeric",TRUE,933
104,"v2x_egal_codehigh","Egalitarian component index","numeric",TRUE,907
105,"v2x_egal_sd","Egalitarian component index","numeric",TRUE,87
106,"v2xeg_eqprotec","Equal protection index","numeric",TRUE,909
107,"v2xeg_eqprotec_codelow","Equal protection index","numeric",TRUE,856
108,"v2xeg_eqprotec_codehigh","Equal protection index","numeric",TRUE,808
109,"v2xeg_eqprotec_sd","Equal protection index","numeric",TRUE,93
110,"v2xeg_eqaccess","Equal access index","numeric",TRUE,900
111,"v2xeg_eqaccess_codelow","Equal access index","numeric",TRUE,846
112,"v2xeg_eqaccess_codehigh","Equal access index","numeric",TRUE,808
113,"v2xeg_eqaccess_sd","Equal access index","numeric",TRUE,58
114,"v2xeg_eqdr","Equal distribution of resources index","numeric",TRUE,938
115,"v2xeg_eqdr_codelow","Equal distribution of resources index","numeric",TRUE,924
116,"v2xeg_eqdr_codehigh","Equal distribution of resources index","numeric",TRUE,885
117,"v2xeg_eqdr_sd","Equal distribution of resources index","numeric",TRUE,63
118,"v2eltype_0","Election type 0","numeric",TRUE,3
119,"v2eltype_1","Election type 1","numeric",TRUE,3
120,"v2eltype_4","Election type 4","numeric",TRUE,3
121,"v2eltype_5","Election type 5","numeric",TRUE,3
122,"v2eltype_6","Election type 6","numeric",TRUE,3
123,"v2eltype_7","Election type 7","numeric",TRUE,3
124,"v2elsuffrage","Percentage of population with suffrage","numeric",TRUE,40
125,"v2elembaut","EMB autonomy","numeric",TRUE,1616
126,"v2elembaut_codelow","EMB autonomy","numeric",TRUE,1637
127,"v2elembaut_codehigh","EMB autonomy","numeric",TRUE,1628
128,"v2elembaut_sd","EMB autonomy","numeric",TRUE,544
129,"v2elembaut_osp","EMB autonomy","numeric",TRUE,1527
130,"v2elembaut_osp_codelow","EMB autonomy","numeric",TRUE,1404
131,"v2elembaut_osp_codehigh","EMB autonomy","numeric",TRUE,1516
132,"v2elembaut_osp_sd","EMB autonomy","numeric",TRUE,430
133,"v2elembaut_ord","EMB autonomy","haven_labelled, vctrs_vctr, double",TRUE,6
134,"v2elembaut_ord_codelow","EMB autonomy","numeric",TRUE,6
135,"v2elembaut_ord_codehigh","EMB autonomy","numeric",TRUE,6
136,"v2elembaut_mean","EMB autonomy","numeric",TRUE,399
137,"v2elembaut_nr","EMB autonomy","numeric",TRUE,25
138,"v2elembcap","EMB capacity","numeric",TRUE,1515
139,"v2elembcap_codelow","EMB capacity","numeric",TRUE,1501
140,"v2elembcap_codehigh","EMB capacity","numeric",TRUE,1523
141,"v2elembcap_sd","EMB capacity","numeric",TRUE,535
142,"v2elembcap_osp","EMB capacity","numeric",TRUE,1439
143,"v2elembcap_osp_codelow","EMB capacity","numeric",TRUE,1393
144,"v2elembcap_osp_codehigh","EMB capacity","numeric",TRUE,1371
145,"v2elembcap_osp_sd","EMB capacity","numeric",TRUE,454
146,"v2elembcap_ord","EMB capacity","haven_labelled, vctrs_vctr, double",TRUE,6
147,"v2elembcap_ord_codelow","EMB capacity","numeric",TRUE,6
148,"v2elembcap_ord_codehigh","EMB capacity","numeric",TRUE,6
149,"v2elembcap_mean","EMB capacity","numeric",TRUE,341
150,"v2elembcap_nr","EMB capacity","numeric",TRUE,26
151,"v2elmulpar","Elections multiparty","numeric",TRUE,1894
152,"v2elmulpar_codelow","Elections multiparty","numeric",TRUE,1902
153,"v2elmulpar_codehigh","Elections multiparty","numeric",TRUE,1890
154,"v2elmulpar_sd","Elections multiparty","numeric",TRUE,618
155,"v2elmulpar_osp","Elections multiparty","numeric",TRUE,1351
156,"v2elmulpar_osp_codelow","Elections multiparty","numeric",TRUE,1447
157,"v2elmulpar_osp_codehigh","Elections multiparty","numeric",TRUE,1173
158,"v2elmulpar_osp_sd","Elections multiparty","numeric",TRUE,546
159,"v2elmulpar_ord","Elections multiparty","haven_labelled, vctrs_vctr, double",TRUE,6
160,"v2elmulpar_ord_codelow","Elections multiparty","numeric",TRUE,6
161,"v2elmulpar_ord_codehigh","Elections multiparty","numeric",TRUE,6
162,"v2elmulpar_mean","Elections multiparty","numeric",TRUE,419
163,"v2elmulpar_nr","Elections multiparty","numeric",TRUE,23
164,"v2elrgstry","Election voter registry","numeric",TRUE,2088
165,"v2elrgstry_codelow","Election voter registry","numeric",TRUE,2073
166,"v2elrgstry_codehigh","Election voter registry","numeric",TRUE,2169
167,"v2elrgstry_sd","Election voter registry","numeric",TRUE,615
168,"v2elrgstry_osp","Election voter registry","numeric",TRUE,1678
169,"v2elrgstry_osp_codelow","Election voter registry","numeric",TRUE,1859
170,"v2elrgstry_osp_codehigh","Election voter registry","numeric",TRUE,1464
171,"v2elrgstry_osp_sd","Election voter registry","numeric",TRUE,498
172,"v2elrgstry_ord","Election voter registry","haven_labelled, vctrs_vctr, double",TRUE,6
173,"v2elrgstry_ord_codelow","Election voter registry","numeric",TRUE,6
174,"v2elrgstry_ord_codehigh","Election voter registry","numeric",TRUE,6
175,"v2elrgstry_mean","Election voter registry","numeric",TRUE,415
176,"v2elrgstry_nr","Election voter registry","numeric",TRUE,22
177,"v2elvotbuy","Election vote buying","numeric",TRUE,2193
178,"v2elvotbuy_codelow","Election vote buying","numeric",TRUE,2169
179,"v2elvotbuy_codehigh","Election vote buying","numeric",TRUE,2222
180,"v2elvotbuy_sd","Election vote buying","numeric",TRUE,628
181,"v2elvotbuy_osp","Election vote buying","numeric",TRUE,1940
182,"v2elvotbuy_osp_codelow","Election vote buying","numeric",TRUE,1977
183,"v2elvotbuy_osp_codehigh","Election vote buying","numeric",TRUE,1791
184,"v2elvotbuy_osp_sd","Election vote buying","numeric",TRUE,515
185,"v2elvotbuy_ord","Election vote buying","haven_labelled, vctrs_vctr, double",TRUE,6
186,"v2elvotbuy_ord_codelow","Election vote buying","numeric",TRUE,6
187,"v2elvotbuy_ord_codehigh","Election vote buying","numeric",TRUE,6
188,"v2elvotbuy_mean","Election vote buying","numeric",TRUE,438
189,"v2elvotbuy_nr","Election vote buying","numeric",TRUE,23
190,"v2elirreg","Election other voting irregularities","numeric",TRUE,2185
191,"v2elirreg_codelow","Election other voting irregularities","numeric",TRUE,2213
192,"v2elirreg_codehigh","Election other voting irregularities","numeric",TRUE,2234
193,"v2elirreg_sd","Election other voting irregularities","numeric",TRUE,609
194,"v2elirreg_osp","Election other voting irregularities","numeric",TRUE,1990
195,"v2elirreg_osp_codelow","Election other voting irregularities","numeric",TRUE,1878
196,"v2elirreg_osp_codehigh","Election other voting irregularities","numeric",TRUE,1843
197,"v2elirreg_osp_sd","Election other voting irregularities","numeric",TRUE,504
198,"v2elirreg_ord","Election other voting irregularities","haven_labelled, vctrs_vctr, double",TRUE,6
199,"v2elirreg_ord_codelow","Election other voting irregularities","numeric",TRUE,6
200,"v2elirreg_ord_codehigh","Election other voting irregularities","numeric",TRUE,6
201,"v2elirreg_mean","Election other voting irregularities","numeric",TRUE,494
202,"v2elirreg_nr","Election other voting irregularities","numeric",TRUE,23
203,"v2elintim","Election government intimidation","numeric",TRUE,2140
204,"v2elintim_codelow","Election government intimidation","numeric",TRUE,2133
205,"v2elintim_codehigh","Election government intimidation","numeric",TRUE,2156
206,"v2elintim_sd","Election government intimidation","numeric",TRUE,619
207,"v2elintim_osp","Election government intimidation","numeric",TRUE,1716
208,"v2elintim_osp_codelow","Election government intimidation","numeric",TRUE,1808
209,"v2elintim_osp_codehigh","Election government intimidation","numeric",TRUE,1487
210,"v2elintim_osp_sd","Election government intimidation","numeric",TRUE,483
211,"v2elintim_ord","Election government intimidation","haven_labelled, vctrs_vctr, double",TRUE,6
212,"v2elintim_ord_codelow","Election government intimidation","numeric",TRUE,6
213,"v2elintim_ord_codehigh","Election government intimidation","numeric",TRUE,6
214,"v2elintim_mean","Election government intimidation","numeric",TRUE,429
215,"v2elintim_nr","Election government intimidation","numeric",TRUE,23
216,"v2elpeace","Election other electoral violence","numeric",TRUE,2049
217,"v2elpeace_codelow","Election other electoral violence","numeric",TRUE,1982
218,"v2elpeace_codehigh","Election other electoral violence","numeric",TRUE,2112
219,"v2elpeace_sd","Election other electoral violence","numeric",TRUE,614
220,"v2elpeace_osp","Election other electoral violence","numeric",TRUE,1528
221,"v2elpeace_osp_codelow","Election other electoral violence","numeric",TRUE,1658
222,"v2elpeace_osp_codehigh","Election other electoral violence","numeric",TRUE,1268
223,"v2elpeace_osp_sd","Election other electoral violence","numeric",TRUE,572
224,"v2elpeace_ord","Election other electoral violence","haven_labelled, vctrs_vctr, double",TRUE,6
225,"v2elpeace_ord_codelow","Election other electoral violence","numeric",TRUE,6
226,"v2elpeace_ord_codehigh","Election other electoral violence","numeric",TRUE,6
227,"v2elpeace_mean","Election other electoral violence","numeric",TRUE,438
228,"v2elpeace_nr","Election other electoral violence","numeric",TRUE,22
229,"v2elfrfair","Election free and fair","numeric",TRUE,2194
230,"v2elfrfair_codelow","Election free and fair","numeric",TRUE,2178
231,"v2elfrfair_codehigh","Election free and fair","numeric",TRUE,2186
232,"v2elfrfair_sd","Election free and fair","numeric",TRUE,621
233,"v2elfrfair_osp","Election free and fair","numeric",TRUE,1803
234,"v2elfrfair_osp_codelow","Election free and fair","numeric",TRUE,1852
235,"v2elfrfair_osp_codehigh","Election free and fair","numeric",TRUE,1618
236,"v2elfrfair_osp_sd","Election free and fair","numeric",TRUE,481
237,"v2elfrfair_ord","Election free and fair","haven_labelled, vctrs_vctr, double",TRUE,6
238,"v2elfrfair_ord_codelow","Election free and fair","numeric",TRUE,6
239,"v2elfrfair_ord_codehigh","Election free and fair","numeric",TRUE,6
240,"v2elfrfair_mean","Election free and fair","numeric",TRUE,463
241,"v2elfrfair_nr","Election free and fair","numeric",TRUE,23
242,"v2elreggov","Regional government exists","haven_labelled, vctrs_vctr, double",TRUE,3
243,"v2elsrgel","Regional government elected","haven_labelled, vctrs_vctr, double",TRUE,6
244,"v2elrgpwr","Regional offices relative power","numeric",TRUE,778
245,"v2elrgpwr_codelow","Regional offices relative power","numeric",TRUE,775
246,"v2elrgpwr_codehigh","Regional offices relative power","numeric",TRUE,769
247,"v2elrgpwr_sd","Regional offices relative power","numeric",TRUE,440
248,"v2elrgpwr_osp","Regional offices relative power","numeric",TRUE,752
249,"v2elrgpwr_osp_codelow","Regional offices relative power","numeric",TRUE,667
250,"v2elrgpwr_osp_codehigh","Regional offices relative power","numeric",TRUE,734
251,"v2elrgpwr_osp_sd","Regional offices relative power","numeric",TRUE,420
252,"v2elrgpwr_ord","Regional offices relative power","haven_labelled, vctrs_vctr, double",TRUE,6
253,"v2elrgpwr_ord_codelow","Regional offices relative power","numeric",TRUE,6
254,"v2elrgpwr_ord_codehigh","Regional offices relative power","numeric",TRUE,6
255,"v2elrgpwr_mean","Regional offices relative power","numeric",TRUE,250
256,"v2elrgpwr_nr","Regional offices relative power","numeric",TRUE,24
257,"v2ellocgov","Local government exists","haven_labelled, vctrs_vctr, double",TRUE,3
258,"v2ellocelc","Local government elected","haven_labelled, vctrs_vctr, double",TRUE,6
259,"v2ellocpwr","Local offices relative power","numeric",TRUE,902
260,"v2ellocpwr_codelow","Local offices relative power","numeric",TRUE,888
261,"v2ellocpwr_codehigh","Local offices relative power","numeric",TRUE,890
262,"v2ellocpwr_sd","Local offices relative power","numeric",TRUE,467
263,"v2ellocpwr_osp","Local offices relative power","numeric",TRUE,877
264,"v2ellocpwr_osp_codelow","Local offices relative power","numeric",TRUE,792
265,"v2ellocpwr_osp_codehigh","Local offices relative power","numeric",TRUE,856
266,"v2ellocpwr_osp_sd","Local offices relative power","numeric",TRUE,393
267,"v2ellocpwr_ord","Local offices relative power","haven_labelled, vctrs_vctr, double",TRUE,6
268,"v2ellocpwr_ord_codelow","Local offices relative power","numeric",TRUE,6
269,"v2ellocpwr_ord_codehigh","Local offices relative power","numeric",TRUE,6
270,"v2ellocpwr_mean","Local offices relative power","numeric",TRUE,247
271,"v2ellocpwr_nr","Local offices relative power","numeric",TRUE,23
272,"v2psbars","Barriers to parties","numeric",TRUE,1521
273,"v2psbars_codelow","Barriers to parties","numeric",TRUE,1500
274,"v2psbars_codehigh","Barriers to parties","numeric",TRUE,1522
275,"v2psbars_sd","Barriers to parties","numeric",TRUE,520
276,"v2psbars_osp","Barriers to parties","numeric",TRUE,1383
277,"v2psbars_osp_codelow","Barriers to parties","numeric",TRUE,1384
278,"v2psbars_osp_codehigh","Barriers to parties","numeric",TRUE,1194
279,"v2psbars_osp_sd","Barriers to parties","numeric",TRUE,437
280,"v2psbars_ord","Barriers to parties","haven_labelled, vctrs_vctr, double",TRUE,6
281,"v2psbars_ord_codelow","Barriers to parties","numeric",TRUE,6
282,"v2psbars_ord_codehigh","Barriers to parties","numeric",TRUE,6
283,"v2psbars_mean","Barriers to parties","numeric",TRUE,321
284,"v2psbars_nr","Barriers to parties","numeric",TRUE,28
285,"v2psparban","Party ban","numeric",TRUE,1392
286,"v2psparban_codelow","Party ban","numeric",TRUE,1368
287,"v2psparban_codehigh","Party ban","numeric",TRUE,1413
288,"v2psparban_sd","Party ban","numeric",TRUE,537
289,"v2psparban_osp","Party ban","numeric",TRUE,1207
290,"v2psparban_osp_codelow","Party ban","numeric",TRUE,1197
291,"v2psparban_osp_codehigh","Party ban","numeric",TRUE,1028
292,"v2psparban_osp_sd","Party ban","numeric",TRUE,533
293,"v2psparban_ord","Party ban","haven_labelled, vctrs_vctr, double",TRUE,6
294,"v2psparban_ord_codelow","Party ban","numeric",TRUE,6
295,"v2psparban_ord_codehigh","Party ban","numeric",TRUE,6
296,"v2psparban_mean","Party ban","numeric",TRUE,319
297,"v2psparban_nr","Party ban","numeric",TRUE,28
298,"v2psoppaut","Opposition parties autonomy","numeric",TRUE,1407
299,"v2psoppaut_codelow","Opposition parties autonomy","numeric",TRUE,1374
300,"v2psoppaut_codehigh","Opposition parties autonomy","numeric",TRUE,1379
301,"v2psoppaut_sd","Opposition parties autonomy","numeric",TRUE,518
302,"v2psoppaut_osp","Opposition parties autonomy","numeric",TRUE,1295
303,"v2psoppaut_osp_codelow","Opposition parties autonomy","numeric",TRUE,1241
304,"v2psoppaut_osp_codehigh","Opposition parties autonomy","numeric",TRUE,1217
305,"v2psoppaut_osp_sd","Opposition parties autonomy","numeric",TRUE,389
306,"v2psoppaut_ord","Opposition parties autonomy","haven_labelled, vctrs_vctr, double",TRUE,6
307,"v2psoppaut_ord_codelow","Opposition parties autonomy","numeric",TRUE,6
308,"v2psoppaut_ord_codehigh","Opposition parties autonomy","numeric",TRUE,6
309,"v2psoppaut_mean","Opposition parties autonomy","numeric",TRUE,297
310,"v2psoppaut_nr","Opposition parties autonomy","numeric",TRUE,26
311,"v2psorgs","Party organizations","numeric",TRUE,1335
312,"v2psorgs_codelow","Party organizations","numeric",TRUE,1311
313,"v2psorgs_codehigh","Party organizations","numeric",TRUE,1339
314,"v2psorgs_sd","Party organizations","numeric",TRUE,512
315,"v2psorgs_osp","Party organizations","numeric",TRUE,1295
316,"v2psorgs_osp_codelow","Party organizations","numeric",TRUE,1251
317,"v2psorgs_osp_codehigh","Party organizations","numeric",TRUE,1271
318,"v2psorgs_osp_sd","Party organizations","numeric",TRUE,383
319,"v2psorgs_ord","Party organizations","haven_labelled, vctrs_vctr, double",TRUE,6
320,"v2psorgs_ord_codelow","Party organizations","numeric",TRUE,6
321,"v2psorgs_ord_codehigh","Party organizations","numeric",TRUE,6
322,"v2psorgs_mean","Party organizations","numeric",TRUE,290
323,"v2psorgs_nr","Party organizations","numeric",TRUE,28
324,"v2psprbrch","Party branches","numeric",TRUE,1310
325,"v2psprbrch_codelow","Party branches","numeric",TRUE,1323
326,"v2psprbrch_codehigh","Party branches","numeric",TRUE,1297
327,"v2psprbrch_sd","Party branches","numeric",TRUE,516
328,"v2psprbrch_osp","Party branches","numeric",TRUE,1275
329,"v2psprbrch_osp_codelow","Party branches","numeric",TRUE,1180
330,"v2psprbrch_osp_codehigh","Party branches","numeric",TRUE,1251
331,"v2psprbrch_osp_sd","Party branches","numeric",TRUE,384
332,"v2psprbrch_ord","Party branches","haven_labelled, vctrs_vctr, double",TRUE,6
333,"v2psprbrch_ord_codelow","Party branches","numeric",TRUE,6
334,"v2psprbrch_ord_codehigh","Party branches","numeric",TRUE,6
335,"v2psprbrch_mean","Party branches","numeric",TRUE,284
336,"v2psprbrch_nr","Party branches","numeric",TRUE,28
337,"v2psprlnks","Party linkages","numeric",TRUE,1336
338,"v2psprlnks_codelow","Party linkages","numeric",TRUE,1370
339,"v2psprlnks_codehigh","Party linkages","numeric",TRUE,1334
340,"v2psprlnks_sd","Party linkages","numeric",TRUE,546
341,"v2psprlnks_osp","Party linkages","numeric",TRUE,1302
342,"v2psprlnks_osp_codelow","Party linkages","numeric",TRUE,1261
343,"v2psprlnks_osp_codehigh","Party linkages","numeric",TRUE,1266
344,"v2psprlnks_osp_sd","Party linkages","numeric",TRUE,477
345,"v2psprlnks_ord","Party linkages","haven_labelled, vctrs_vctr, double",TRUE,6
346,"v2psprlnks_ord_codelow","Party linkages","numeric",TRUE,6
347,"v2psprlnks_ord_codehigh","Party linkages","numeric",TRUE,6
348,"v2psprlnks_mean","Party linkages","numeric",TRUE,313
349,"v2psprlnks_nr","Party linkages","numeric",TRUE,27
350,"v2psplats","Distinct party platforms","numeric",TRUE,1352
351,"v2psplats_codelow","Distinct party platforms","numeric",TRUE,1320
352,"v2psplats_codehigh","Distinct party platforms","numeric",TRUE,1333
353,"v2psplats_sd","Distinct party platforms","numeric",TRUE,544
354,"v2psplats_osp","Distinct party platforms","numeric",TRUE,1305
355,"v2psplats_osp_codelow","Distinct party platforms","numeric",TRUE,1230
356,"v2psplats_osp_codehigh","Distinct party platforms","numeric",TRUE,1235
357,"v2psplats_osp_sd","Distinct party platforms","numeric",TRUE,504
358,"v2psplats_ord","Distinct party platforms","haven_labelled, vctrs_vctr, double",TRUE,6
359,"v2psplats_ord_codelow","Distinct party platforms","numeric",TRUE,6
360,"v2psplats_ord_codehigh","Distinct party platforms","numeric",TRUE,6
361,"v2psplats_mean","Distinct party platforms","numeric",TRUE,304
362,"v2psplats_nr","Distinct party platforms","numeric",TRUE,27
363,"v2pscnslnl","Candidate selection-national/local","numeric",TRUE,1295
364,"v2pscnslnl_codelow","Candidate selection-national/local","numeric",TRUE,1302
365,"v2pscnslnl_codehigh","Candidate selection-national/local","numeric",TRUE,1287
366,"v2pscnslnl_sd","Candidate selection-national/local","numeric",TRUE,562
367,"v2pscnslnl_osp","Candidate selection-national/local","numeric",TRUE,1242
368,"v2pscnslnl_osp_codelow","Candidate selection-national/local","numeric",TRUE,1183
369,"v2pscnslnl_osp_codehigh","Candidate selection-national/local","numeric",TRUE,1280
370,"v2pscnslnl_osp_sd","Candidate selection-national/local","numeric",TRUE,485
371,"v2pscnslnl_ord","Candidate selection-national/local","haven_labelled, vctrs_vctr, double",TRUE,7
372,"v2pscnslnl_ord_codelow","Candidate selection-national/local","numeric",TRUE,7
373,"v2pscnslnl_ord_codehigh","Candidate selection-national/local","numeric",TRUE,7
374,"v2pscnslnl_mean","Candidate selection-national/local","numeric",TRUE,316
375,"v2pscnslnl_nr","Candidate selection-national/local","numeric",TRUE,27
376,"v2pscohesv","Legislative party cohesion","numeric",TRUE,1169
377,"v2pscohesv_codelow","Legislative party cohesion","numeric",TRUE,1152
378,"v2pscohesv_codehigh","Legislative party cohesion","numeric",TRUE,1183
379,"v2pscohesv_sd","Legislative party cohesion","numeric",TRUE,522
380,"v2pscohesv_osp","Legislative party cohesion","numeric",TRUE,993
381,"v2pscohesv_osp_codelow","Legislative party cohesion","numeric",TRUE,1040
382,"v2pscohesv_osp_codehigh","Legislative party cohesion","numeric",TRUE,869
383,"v2pscohesv_osp_sd","Legislative party cohesion","numeric",TRUE,368
384,"v2pscohesv_ord","Legislative party cohesion","haven_labelled, vctrs_vctr, double",TRUE,5
385,"v2pscohesv_ord_codelow","Legislative party cohesion","numeric",TRUE,5
386,"v2pscohesv_ord_codehigh","Legislative party cohesion","numeric",TRUE,5
387,"v2pscohesv_mean","Legislative party cohesion","numeric",TRUE,222
388,"v2pscohesv_nr","Legislative party cohesion","numeric",TRUE,28
389,"v2psnatpar","National party control","numeric",TRUE,1658
390,"v2psnatpar_codelow","National party control","numeric",TRUE,1654
391,"v2psnatpar_codehigh","National party control","numeric",TRUE,1638
392,"v2psnatpar_sd","National party control","numeric",TRUE,595
393,"v2psnatpar_osp","National party control","numeric",TRUE,1217
394,"v2psnatpar_osp_codelow","National party control","numeric",TRUE,1105
395,"v2psnatpar_osp_codehigh","National party control","numeric",TRUE,1116
396,"v2psnatpar_osp_sd","National party control","numeric",TRUE,382
397,"v2psnatpar_ord","National party control","haven_labelled, vctrs_vctr, double",TRUE,4
