"p_name","state","center_lon","center_lat","turbine_count","total_capacity","avg_hub_height","year_built","avg_wind_speed","median_wind_speed","n_observations","state_name_lower"
"Air Force (Barnstable)","MA",-70.591103,41.657692,1,1500,80,2009,NA,NA,NA,NA
"Air Force (Laramie)","WY",-104.884689,41.178291,1,2000,78,2009,NA,NA,NA,NA
"Akron-Westfield School District","IA",-96.541191,42.829891,1,600,55,1999,NA,NA,NA,NA
"Alexander","KS",-99.534138,38.4312462380952,21,48300,80,2015,NA,NA,NA,NA
"Alite Wind Farm","CA",-118.341076,35.03511975,8,24000,80,2008,NA,NA,NA,NA
"Allegheny Ridge","PA",-78.5839256666667,40.3846766666667,42,84000,78,2007,NA,NA,NA,NA
"Alta Farms II","IL",-89.05788906,40.19034156,50,200500,101.45,2023,NA,NA,NA,NA
"Alta I","CA",-118.37155029703,35.0374983366337,101,151500,80,2010,NA,NA,NA,NA
"Alta II","CA",-118.233785878049,35.0260455853659,41,123000,80,2010,NA,NA,NA,NA
"Alta III","CA",-118.2838556,35.00977766,50,150000,80,2011,NA,NA,NA,NA
"Alta IV","CA",-118.316147027027,35.0318841621622,37,111000,80,2011,NA,NA,NA,NA
"Alta V","CA",-118.249120714286,35.0128367678571,56,168000,80,2011,NA,NA,NA,NA
"Alta VI (partial)","CA",-118.307855369565,35.0228906304348,46,138000,80,2011,NA,NA,NA,NA
"Alta VIII (partial)","CA",-118.232652706897,35.0013227758621,58,174000,80,2011,NA,NA,NA,NA
"Alta X","CA",-118.233568541667,35.097827,48,136800,85,2013,NA,NA,NA,NA
"Alta XI","CA",-118.376661795918,35.0872614285714,49,91350,80.7142857142857,2013,NA,NA,NA,NA
"Altech III","CA",-116.5844786,33.8914262,5,0,NA,1985,NA,NA,NA,NA
"Amadeus","TX",-100.550088645833,32.9836812604167,96,250120,87.125,2020,NA,NA,NA,NA
"Amazon Wind Farm (Fowler Ridge)","IN",-87.3777019846154,40.6370096461538,65,149500,80,2015,NA,NA,NA,NA
"Amazon Wind Farm Texas","TX",-100.988648781818,32.8924993,110,253000,80,2017,NA,NA,NA,NA
"Amazon Wind Farm US Central","OH",-84.7602579583333,41.1273459166667,48,100800,93,2016,NA,NA,NA,NA
"Amazon Wind Farm US East","NC",-76.419514375,36.3168813557692,104,208000,93,2017,NA,NA,NA,NA
"American Windmill Museum","TX",-101.823891,33.580894,1,660,50,2005,NA,NA,NA,NA
"Anacacho","TX",-100.192098127273,29.1901975272727,55,99000,80,2012,NA,NA,NA,NA
"Anderson Wind Project","NM",-103.861151625,33.02113625,8,14950,80,2014,NA,NA,NA,NA
"Anheuser-Busch Fairfield","CA",-122.090683,38.2329005,2,3350,72.5,2011,NA,NA,NA,NA
"Antrim","NH",-72.0162166666667,43.0553707777778,9,28800,91.0555555555556,2019,NA,NA,NA,NA
"Apogee Stadium Wind","TX",-97.1609243333333,33.2011273333333,3,300,37,2012,NA,NA,NA,NA
"Appalachian State","NC",-81.692024,36.213341,1,0,NA,2009,NA,NA,NA,NA
"Appaloosa Run","TX",-101.831731612903,31.1628902903226,62,171851,89,2022,NA,NA,NA,NA
"Apple Blossom","MI",-83.3066467241379,43.8142120689655,29,100050,87,2017,NA,NA,NA,NA
"Applied Materials","MA",-70.649399,42.628193,1,2500,100,2012,NA,NA,NA,NA
"Aragone Mesa","NM",-105.108408333333,34.813548,3,0,NA,2022,NA,NA,NA,NA
"Aragonne Mesa 2","NM",-105.0273107,34.82466454,50,134600,89,2022,NA,NA,NA,NA
"Aragonne Mesa 2 Expansion","NM",-105.078542818182,34.8122486666667,33,91500,88.1818181818182,2022,NA,NA,NA,NA
"Arbor Hill","IA",-94.32338996,41.4475944,125,250000,95,2018,NA,NA,NA,NA
"Arbor Hill 2019","IA",-94.3911497058824,41.4720667647059,17,61400,102.058823529412,2020,NA,NA,NA,NA
"Arbuckle Mountain","OK",-97.17446172,34.38900292,50,100000,80,2015,NA,NA,NA,NA
"Archbold Local Schools Wind Turbine","OH",-84.315895,41.51519,1,750,65,2012,NA,NA,NA,NA
"Arends Brothers","IL",-88.02977,39.531311,1,100,NA,2009,NA,NA,NA,NA
"Arkwright Summit","NY",-79.2318325555556,42.4077478333333,36,78400,95,2018,NA,NA,NA,NA
"Armadillo Flats","OK",-97.5535867884615,36.3091177692308,104,208450,84.2307692307692,2018,NA,NA,NA,NA
"Armenia Mountain","PA",-76.8904604925373,41.7555028358209,67,100500,80,2009,NA,NA,NA,NA
"Arnold Wind Farm","MN",-95.844292,43.752693,1,1650,70,2005,NA,NA,NA,NA
"Ashtabula II","ND",-97.94569835,47.2958647,80,120000,80,2009,NA,NA,NA,NA
"Ashtabula III","ND",-97.932166,47.1677584102564,39,62400,80,2010,NA,NA,NA,NA
"Ashtabula Wind Center","ND",-97.919734351145,47.1189383664122,131,196500,80,2008,NA,NA,NA,NA
"August Wind Energy LLC","IA",-94.475632,40.764946,1,1790,80,2017,NA,NA,NA,NA
"Aurora County Wind","SD",-98.7553032222222,43.7163152222222,9,20700,80,2018,NA,NA,NA,NA
"Aurora Wal-Mart","CO",-104.773087,39.760796,1,50,52,2005,NA,NA,NA,NA
"Aurora Wind","ND",-103.135937521127,48.508121915493,71,298800,102.084507042254,2021,NA,NA,NA,NA
"Auwahi Wind","HI",-156.31828675,20.59638475,8,24000,80,2012,NA,NA,NA,NA
"Aviator Wind","TX",-100.642932078534,31.8097654816754,191,525020,89.7120418848168,2020,NA,NA,NA,NA
"Azure Sky Wind Project","TX",-99.2915250379747,33.1684180506329,79,350150,103.215189873418,2022,NA,NA,NA,NA
"BLM-JCI","WY",-107.241638,41.797478,1,100,37,2010,NA,NA,NA,NA
"BTI Wind","KS",-99.269791,37.606895,1,50,NA,2010,NA,NA,NA,NA
"Babbitt Ranch Wind","AZ",-111.8746371,35.68067094,50,162960,112.68,2024,NA,NA,NA,NA
"Bacardi Puerto Rico","PR",-66.1387825,18.458972,2,500,19,Inf,NA,NA,NA,NA
"Baffin","TX",-97.5882332376238,27.1719016534653,101,202000,90,2015,NA,NA,NA,NA
"Baldwin","ND",-100.695913203125,47.135104671875,64,102400,80,2010,NA,NA,NA,NA
"Balko Wind","OK",-100.843782388889,36.5179128148148,162,299700,80,2015,NA,NA,NA,NA
"Ball Hill Wind","NY",-79.1333258,42.41056236,25,107500,102.24,2023,NA,NA,NA,NA
"Barnstable Wastewater Treatment Facility","MA",-70.305599,41.6639915,2,200,37,2010,NA,NA,NA,NA
"Baron Winds I","NY",-77.53565975,42.4743105,32,121800,113.25,2023,NA,NA,NA,NA
"Barstow Marine Logistics Base","CA",-116.959785,34.862396,1,1500,80,2009,NA,NA,NA,NA
"Barton","IA",-93.0876153,43.3932908125,80,160000,78,2009,NA,NA,NA,NA
"Barton Chapel","TX",-98.3298977,33.0725414833333,60,120000,78,2009,NA,NA,NA,NA
"Bayonne Wind Energy Project","NJ",-74.117699,40.652794,1,1500,65,2012,NA,NA,NA,NA
"Bear Creek","PA",-75.7519180833333,41.2370733333333,12,24000,78,2006,NA,NA,NA,NA
"Bearkat I","TX",-101.594747473684,31.7651523508772,57,196650,87,2017,NA,NA,NA,NA
"Bearkat II","TX",-101.674096212766,31.757655106383,47,162150,87,2020,NA,NA,NA,NA
"Beaver Creek","IA",-94.1604083529412,42.1039558470588,85,170000,95,2017,NA,NA,NA,NA
"Beaver Creek II","IA",-94.2486000470588,42.1059842470588,85,170000,95,2018,NA,NA,NA,NA
"Beebe 1B","MI",-84.5210422857143,43.3159633333333,21,50400,91,2014,NA,NA,NA,NA
"Beebe Community Wind","MI",-84.5172394705882,43.2712311764706,34,81600,91,2012,NA,NA,NA,NA
"Beech Ridge","WV",-80.5228654328358,38.0784556716418,67,100500,80,2010,NA,NA,NA,NA
"Beech Ridge II","WV",-80.6210555,38.1013483,20,56200,89.1,2020,NA,NA,NA,NA
"Beethoven Wind, LLC","SD",-98.076880372093,43.1750308139535,43,79550,80,2015,NA,NA,NA,NA
"Bellevue High School","OH",-82.846031,41.282417,1,100,NA,2010,NA,NA,NA,NA
"Bennington","IL",-89.0799650909091,40.9633683636364,33,93060,89,2021,NA,NA,NA,NA
"Benson Creek","OR",-117.2741058,44.4184318,5,10000,80,2017,NA,NA,NA,NA
"Bent Tree","MN",-93.462857852459,43.7575218770492,122,201300,80,2011,NA,NA,NA,NA
"Berkshire East Ski Area","MA",-72.866798,42.616291,1,900,59,2010,NA,NA,NA,NA
"Berkshire Wind","MA",-73.2749786,42.5852712,10,15000,80,2011,NA,NA,NA,NA
"Berkshire Wind Power Project Phase II","MA",-73.2721135,42.5982305,2,4600,80,2019,NA,NA,NA,NA
"Bethel","TX",-102.46911675,34.5743490833333,120,276000,80,2017,NA,NA,NA,NA
"Bethel Wind Turbine","AK",-161.886581,60.780571,1,900,50,2018,NA,NA,NA,NA
"Big Blue Wind Farm","MN",-94.2175856666667,43.6234639444444,18,36000,90,2012,NA,NA,NA,NA
"Big Horn","WA",-120.281860917293,45.8828993909774,133,199500,80,2006,NA,NA,NA,NA
"Big Horn 2","WA",-120.2897824,45.94081088,25,50000,78,2010,NA,NA,NA,NA
"Big Level","PA",-77.67979832,41.89435388,25,90000,125.96,2019,NA,NA,NA,NA
"Big Sky Wind","IL",-89.4214401491228,41.5875225263158,114,250300,80,2011,NA,NA,NA,NA
"Big Smile Wind Farm at Dempsey Ridge","OK",-99.8170448181818,35.5383318181818,66,132000,78,2012,NA,NA,NA,NA
"Big Spring I","TX",-101.402198093023,32.1909834186047,43,29370,65.3488372093023,1999,NA,NA,NA,NA
"Big Spring II","TX",-101.400723666667,32.2138953333333,3,5750,78,1999,NA,NA,NA,NA
"Big Timber","MT",-109.6524185,45.8357192857143,14,25060,80,2018,NA,NA,NA,NA
"Big Turtle","MI",-82.7542846,43.8764928,10,20000,93,2014,NA,NA,NA,NA
"Big Turtle II","MI",-82.7950734285714,43.9262548571429,14,29400,93,2016,NA,NA,NA,NA
"Big Windy","IL",-87.865189,41.955463,1,108,25,2009,NA,NA,NA,NA
"Biglow Canyon I","OR",-120.616801263158,45.6669006052632,76,125400,80,2007,NA,NA,NA,NA
"Biglow Canyon II","OR",-120.638824123077,45.6406665538462,65,149500,80,2009,NA,NA,NA,NA
"Biglow Canyon III","OR",-120.552468078947,45.6412449078947,76,174800,80,2010,NA,NA,NA,NA
"Bingham Lake","MN",-95.04368525,43.9607880833333,12,15000,63,2006,NA,NA,NA,NA
"Bingham Wind","ME",-69.6990419464286,45.1269684107143,56,184800,94,2016,NA,NA,NA,NA
"Birch Power LLC","IA",-94.474396,40.767693,1,1790,80,2017,NA,NA,NA,NA
"Bishop Hill I","IL",-90.1505419172932,41.1972779774436,133,211380,94.8872180451128,2012,NA,NA,NA,NA
"Bishop Hill II","IL",-90.14768796,41.2341649,50,81000,100,2012,NA,NA,NA,NA
"Bishop Hill III","IL",-90.2872400566038,41.2061135849057,53,132100,90,2018,NA,NA,NA,NA
"Bison 1B (2011)","ND",-101.546447714286,46.9663062857143,7,21000,80,2011,NA,NA,NA,NA
"Bison Wind 1A","ND",-101.529570125,46.9812495,16,36800,80,2010,NA,NA,NA,NA
"Bison Wind 1B","ND",-101.497256222222,47.0006806666667,9,27000,80,2012,NA,NA,NA,NA
"Bison Wind 2","ND",-101.6431045,46.9558712941176,34,102000,80,2012,NA,NA,NA,NA
"Bison Wind 3","ND",-101.540449942857,46.9558605428571,35,105000,80,2012,NA,NA,NA,NA
"Bison Wind 4","ND",-101.630471453125,47.0204974375,64,204800,92.5,2014,NA,NA,NA,NA
"Bitter Ridge","IN",-85.10504825,40.3374325,52,146640,89,2020,NA,NA,NA,NA
"Bitworks","AR",-94.334,35.976391,1,100,NA,2003,NA,NA,NA,NA
"Black Oak Getty","MN",-95.0118795641026,45.6544807435897,39,78000,80,2016,NA,NA,NA,NA
"Black Rock","WV",-79.1339188695652,39.3151126521739,23,115000,107.5,2021,NA,NA,NA,NA
"Blackjack Creek","TX",-97.51792024,28.25955782,50,240000,108,2022,NA,NA,NA,NA
"Blackstone (Top Crop)","IL",-88.6150416323529,41.1353423382353,68,102000,80,2009,NA,NA,NA,NA
"Blackstone (Top Crop) II","IL",-88.5386819469697,41.1623950833333,132,198000,80,2010,NA,NA,NA,NA
"Blackwell","OK",-97.426215,36.8509404615385,26,59800,80,2012,NA,NA,NA,NA
"Blazing Star 1","MN",-96.37686905,44.53719256,100,200000,80,2020,NA,NA,NA,NA
"Blazing Star 2","MN",-96.32119655,44.44472033,100,218000,80,2021,NA,NA,NA,NA
"Block Island","RI",-71.5218874,41.1153922,5,30000,106,2016,NA,NA,NA,NA
"Bloom","KS",-99.9555033703704,37.4898894074074,54,178200,91.5,2017,NA,NA,NA,NA
"Blooming Grove","IL",-88.749488,40.6596667553192,94,260920,88.2340425531915,2020,NA,NA,NA,NA
"Blue Breezes I & II","MN",-94.1549985,43.655834,2,2500,78,2006,NA,NA,NA,NA
"Blue Canyon I","OK",-98.5740784,34.8531940444444,45,74250,70,2003,NA,NA,NA,NA
"Blue Canyon II","OK",-98.6397243292683,34.8752799268293,82,162000,67,2005,NA,NA,NA,NA
"Blue Canyon V","OK",-98.4727016666667,34.8201490757576,66,99000,80,2009,NA,NA,NA,NA
"Blue Canyon VI","OK",-98.5538467090909,34.9139429454545,55,99000,80,2011,NA,NA,NA,NA
"Blue Cloud I","TX",-102.646362744186,34.0544022325581,43,148350,87,2018,NA,NA,NA,NA
"Blue Creek","OH",-84.6063144276316,40.9657082960526,152,304000,100,2012,NA,NA,NA,NA
"Blue Sky - Green Field","WI",-88.2698404090909,43.8862785113636,88,145200,80,2008,NA,NA,NA,NA
"Blue Summit","TX",-99.3768711882353,34.3048371882353,85,139740,80,2012,NA,NA,NA,NA
"Blue Summit II","TX",-99.4727716097561,34.2320572682927,41,99360,89.0243902439024,2018,NA,NA,NA,NA
"Blue Summit III","TX",-99.5535338414634,34.178861097561,82,200200,88.1219512195122,2019,NA,NA,NA,NA
"Bluegrass Ridge","MO",-94.4927514814815,40.0859262962963,27,56700,80,2007,NA,NA,NA,NA
"Bluestem","OK",-100.587546933333,36.552146,60,198000,91.5,2016,NA,NA,NA,NA
"Bluestem Franklin County Wind Project (SPPW1)","NE",-98.958538,40.3134555,2,5640,89,2022,NA,NA,NA,NA
"Bluestone Wind","NY",-75.5098243076923,42.0965069615385,26,111800,120,2023,NA,NA,NA,NA
"Bluff Point","IN",-84.9470893214286,40.3229045,56,117600,94,2017,NA,NA,NA,NA
"Bobcat Bluff","TX",-98.57871386,33.5035497,100,162000,80,2012,NA,NA,NA,NA
"Boiling Springs","OK",-99.3270109333333,36.5450660833333,60,148400,89.6666666666667,2020,NA,NA,NA,NA
"Bolton Valley Resort","VT",-72.834724,44.414455,1,100,37,2009,NA,NA,NA,NA
"Border Winds Project","ND",-99.6026874533333,48.96476508,75,150000,95,2015,NA,NA,NA,NA
"Borderlands","NM",-108.897820676471,34.1320782941176,34,99800,94.1176470588235,2021,NA,NA,NA,NA
"Bowling Green Municipal","OH",-83.740997,41.375391,2,3600,78,2003,NA,NA,NA,NA
"Boyce Dairy Farm","OH",-81.045471,40.868603,1,100,NA,2010,NA,NA,NA,NA
"Brady Wind I","ND",-102.753796977011,46.6565839770115,87,149730,80,2016,NA,NA,NA,NA
"Brady Wind II","ND",-102.789608555556,46.6018034722222,72,149030,80,2016,NA,NA,NA,NA
"Brahms Wind, LLC","NM",-103.3032715,34.7468720833333,12,19800,80,2014,NA,NA,NA,NA
"Brazos Wind Ranch","TX",-101.181673333333,32.942678,3,3000,66,2003,NA,NA,NA,NA
"Brazos Wind Repower","TX",-101.195810421053,32.9406171578947,38,182400,108,2003,NA,NA,NA,NA
"Breckinridge","OK",-97.676079122807,36.4476970175439,57,96900,80,2015,NA,NA,NA,NA
"Bright Stalk","IL",-88.6624792631579,40.6818313859649,57,205200,99,2019,NA,NA,NA,NA
"Briscoe","TX",-101.310167074074,34.3756090864198,81,149850,80,2015,NA,NA,NA,NA
"Broadlands","IL",-88.0076341041667,39.8577799375,48,199800,105,2020,NA,NA,NA,NA
"Broadview Energy JN LLC","NM",-103.096502651163,34.8061592790698,43,98900,80,2017,NA,NA,NA,NA
"Broadview Energy JN LLC","TX",-102.977182555556,34.7949127777778,36,82800,80,2017,NA,NA,NA,NA
"Broadview Energy KW LLC","NM",-103.121662112903,34.7511512741935,62,142600,80,2017,NA,NA,NA,NA
"Broken Bow I","NE",-99.55834302,41.45824886,50,80000,80,2012,NA,NA,NA,NA
"Broken Bow II","NE",-99.560193255814,41.5293655581395,43,73100,80,2014,NA,NA,NA,NA
"Bronco Plains","CO",-103.017158759259,39.0885420277778,108,299360,88.1666666666667,2020,NA,NA,NA,NA
"Bronco Plains Wind II","CO",-102.975715013889,39.2143947638889,72,199040,89.1111111111111,2023,NA,NA,NA,NA
"Brookfield Tehachapi 1 (CCDLP)","CA",-118.325479076923,35.0599335769231,26,78000,80,2012,NA,NA,NA,NA
"Brookfield Tehachapi 2","CA",-118.244142625,35.047239375,8,24000,80,2012,NA,NA,NA,NA
"Brookfield Wind Park","MI",-83.3075646136364,43.7314470454545,44,74800,80,2014,NA,NA,NA,NA
"Brown County Wind Turbine","IL",-90.699394,39.973492,1,1500,85,2011,NA,NA,NA,NA
"Bruenning's Breeze","TX",-97.6751341315789,26.5225579210526,76,228000,87.5,2017,NA,NA,NA,NA
"Brule County Wind","SD",-98.9224692222222,43.7145551111111,9,20700,80,2018,NA,NA,NA,NA
"Buckeye","KS",-99.4501681785714,38.9966591071429,112,200480,80,2015,NA,NA,NA,NA
"Buckthorn","TX",-98.396853862069,32.366475137931,29,100050,87,2017,NA,NA,NA,NA
"Buena Vista","CA",-121.658276815789,37.8009478421053,38,38000,55,2006,NA,NA,NA,NA
"Buffalo Bear","OK",-99.6553132222222,36.774128,9,18900,79,2008,NA,NA,NA,NA
"Buffalo Dunes","KS",-101.089838666667,37.6375356740741,135,249750,80,2013,NA,NA,NA,NA
"Buffalo Gap 2","TX",-100.211957722581,32.342343883871,155,232500,80,2007,NA,NA,NA,NA
"Buffalo Gap 3","TX",-100.158752256757,32.2959663243243,74,170200,80,2008,NA,NA,NA,NA
"Buffalo Gap Wind Farm","TX",-100.118737193548,32.3073602741935,62,111600,78,2005,NA,NA,NA,NA
"Buffalo Mountain","TN",-84.3489542666667,36.1270065333333,15,27000,80,2004,NA,NA,NA,NA
"Buffalo Mountain (Windrock)","TN",-84.3386866666667,36.1207823333333,3,1980,65,2000,NA,NA,NA,NA
"Buffalo Ridge","MN",-96.237141775,44.241140825,40,112800,89,2022,NA,NA,NA,NA
"Buffalo Ridge","SD",-96.4800447083333,44.4219460416667,24,50400,79,2009,NA,NA,NA,NA
"Buffalo Ridge II","SD",-96.6312210095238,44.5261921142857,105,210000,78,2010,NA,NA,NA,NA
"Bull Creek","TX",-101.580328305556,32.9319461222222,180,180000,69,2008,NA,NA,NA,NA
"Bull Hill","ME",-68.1592106315789,44.717001368421,19,34200,95,2012,NA,NA,NA,NA
"Bulldog","IA",-94.440491,41.225693,1,1500,80,2010,NA,NA,NA,NA
"Burco Farm & Feed","IA",-91.887505,42.563808,1,100,NA,2010,NA,NA,NA,NA
"Bureau Valley School District","IL",-89.678192,41.453392,1,660,66,2004,NA,NA,NA,NA
"Burley Butte","ID",-113.922834538462,42.4891861538462,13,19500,80,2011,NA,NA,NA,NA
"Busch Ranch","CO",-104.471851375,37.7818876875,16,28800,80,2012,NA,NA,NA,NA
"Busch Ranch II","CO",-104.421016037037,37.7759083703704,27,59400,80,2019,NA,NA,NA,NA
"Butler Ridge","WI",-88.4808338333333,43.40998625,36,54000,80,2009,NA,NA,NA,NA
"Byers Auto","OH",-83.082306,40.110752,1,100,NA,2010,NA,NA,NA,NA
"CED Centerville Wind Project","IA",-92.8535486666667,40.7017403333333,3,7900,89,2021,NA,NA,NA,NA
"CED Manchester Wind","IA",-91.5323233333333,42.4584783333333,3,7900,89,2022,NA,NA,NA,NA
"CR Holland Crane Service","IA",-93.633781,43.279308,1,100,37,2017,NA,NA,NA,NA
"Cabazon","CA",-116.722046513761,33.9130188807339,109,76440,64.5412844036697,1999,NA,NA,NA,NA
"Cabazon-Shell","CA",-116.73481,33.9071403333333,3,1980,65,2002,NA,NA,NA,NA
"Cactus Flats","TX",-100.017631534884,31.111067,43,148350,87,2018,NA,NA,NA,NA
"Caddo","OK",-98.3989978909091,35.0033720636364,110,310200,89,2021,NA,NA,NA,NA
"California Ridge","IL",-87.8937719029851,40.2189295746269,134,217080,100,2012,NA,NA,NA,NA
"California State Prison Los Angeles County","CA",-118.221596,34.691982,1,1850,80,2017,NA,NA,NA,NA
"Callahan Divide","TX",-100.005172671053,32.3208129078947,76,114000,80,2017,NA,NA,NA,NA
"Camelot Wind Project","MA",-70.644302,41.925491,1,1500,70,2012,NA,NA,NA,NA
"Cameron","TX",-97.4852096727273,26.1927650181818,55,165000,87.5,2015,NA,NA,NA,NA
"Cameron Ridge","CA",-118.310303294118,35.0788262941176,17,11900,45,1999,NA,NA,NA,NA
"Camp Grove","IL",-89.6231581,41.07716979,100,150000,80,2007,NA,NA,NA,NA
"Camp Reed","ID",-115.057775,42.8162008,15,22500,80,2010,NA,NA,NA,NA
"Camp Springs","TX",-100.807833931034,32.7648555977011,87,130500,80,2007,NA,NA,NA,NA
"Camp Springs II","TX",-100.8151270375,32.7300226,80,120000,80,2007,NA,NA,NA,NA
"Camp Williams","UT",-111.91967,40.43964,2,885,40,2000,NA,NA,NA,NA
"Campbell County","SD",-100.275161327273,45.7893166363636,55,93500,80,2015,NA,NA,NA,NA
"Campbell Hill","WY",-106.000878075758,43.0149187575758,66,99000,80,2009,NA,NA,NA,NA
"Canadian Breaks","TX",-102.31495852381,35.1993308452381,84,193200,80,2019,NA,NA,NA,NA
"Canadian Hills","OK",-98.0929330222222,35.659636562963,135,298450,79.1888888888889,2012,NA,NA,NA,NA
"Caney River","KS",-96.4341001801802,37.4275956306306,111,199800,80,2011,NA,NA,NA,NA
"Cannon 1","IA",-92.368904,42.73275,1,900,75,2009,NA,NA,NA,NA
"Cannon II","IA",-92.368095,42.735493,1,900,75,2012,NA,NA,NA,NA
"Canton Mountain","ME",-70.303584,44.51365275,8,22800,85,2017,NA,NA,NA,NA
"Canyon Wind","TX",-100.969340207207,32.6159203873874,111,308820,110.972972972973,2024,NA,NA,NA,NA
"Cape Cod Regional Transit Authority","MA",-70.144402,41.69009,1,100,NA,2010,NA,NA,NA,NA
"Capricorn Ridge","TX",-100.895273966667,31.931010947619,210,367000,80,2017,NA,NA,NA,NA
"Capricorn Ridge expansion","TX",-100.964599441624,31.9322576700508,197,295500,80,2017,NA,NA,NA,NA
"Caprock Wind Ranch","NM",-103.3503388375,34.97903565,80,80000,69,2004,NA,NA,NA,NA
"Cardinal Point","IL",-90.7635599666667,40.6172479666667,60,150000,89,2020,NA,NA,NA,NA
"Carleton College","MN",-93.120903,44.463867,2,3250,80,2004,NA,NA,NA,NA
"Carousel","CO",-102.142917275862,39.3685762298851,87,147900,80,2015,NA,NA,NA,NA
"Carroll","IA",-94.94529587,42.15006409,100,159120,80,2008,NA,NA,NA,NA
"Carroll Area","IA",-94.890909,41.9431381111111,9,20700,80,2015,NA,NA,NA,NA
"Carthage Wind Turbine","SD",-97.740433,44.169022,1,108,NA,2002,NA,NA,NA,NA
"Casa Mesa","NM",-103.976121047619,34.6052286666667,21,50900,88.1428571428571,2018,NA,NA,NA,NA
"Case Western University","OH",-81.5333556666667,41.5688783333333,3,1325,45.6666666666667,2010,NA,NA,NA,NA
"Cashton Greens","WI",-90.8045425,43.736393,2,5000,100,2012,NA,NA,NA,NA
"Casper Wind Farm","WY",-106.218697909091,42.887266,11,16500,80,2009,NA,NA,NA,NA
"Cassadaga","NY",-79.1747037297297,42.3154852162162,37,125475,91.5405405405405,2021,NA,NA,NA,NA
"Casselman","PA",-79.1284156086956,39.8595276956522,23,34500,80,2007,NA,NA,NA,NA
"Cassia","ID",-115.024259857143,42.8650944285714,14,29400,79,2009,NA,NA,NA,NA
"Castle Gap Wind","TX",-98.3692893170732,31.3945128292683,41,196800,108,2023,NA,NA,NA,NA
"Cayuga Ridge","IL",-88.43775522,40.9748505333333,150,300000,78,2010,NA,NA,NA,NA
"Cedar Bluff","KS",-99.7348514324324,38.6712927567568,111,198690,80,2015,NA,NA,NA,NA
"Cedar Creek","CO",-104.022271810219,40.884233459854,274,300500,71.1277372262774,2007,NA,NA,NA,NA
"Cedar Creek II","CO",-103.788923360656,40.9263497704918,122,248300,80,2011,NA,NA,NA,NA
"Cedar Creek Wind","ID",-112.005479510638,43.3248573191489,47,159800,98,2024,NA,NA,NA,NA
"Cedar Hills","ND",-103.768112153846,46.2445234615385,13,19500,80,2010,NA,NA,NA,NA
"Cedar Point","CO",-103.670203776978,39.4467794964029,139,250200,80,2011,NA,NA,NA,NA
"Cedar Ridge Wind Farm","WI",-88.3109091219512,43.7170968780488,41,67650,80,2008,NA,NA,NA,NA
"Cedar Springs I","WY",-105.450612388889,43.0792473611111,72,199400,88.125,2020,NA,NA,NA,NA
"Cedar Springs II","WY",-105.354191347222,42.9507327638889,72,199400,88.125,2020,NA,NA,NA,NA
"Cedar Springs III","WY",-105.583647729167,43.0814852916667,48,133280,88.25,2020,NA,NA,NA,NA
"Cedro Hill","TX",-98.90881179,27.57627567,100,150000,80,2010,NA,NA,NA,NA
"Cemex Black Mountain Quarry","CA",-117.111843,34.6221385,2,3000,80,2012,NA,NA,NA,NA
"Cemex Madison","CA",-121.935188,38.687595,1,1500,80,2012,NA,NA,NA,NA
"Cemex River Plant","CA",-117.3065375,34.5610465,2,3200,80,2012,NA,NA,NA,NA
"Centennial Wind Farm","OK",-99.616877425,36.6443484,80,120000,80,2006,NA,NA,NA,NA
